"Country","Ano","ppp","ipc","poblacion","gasto_ml","gasto_dolares","tasa_crecpob","gastopc"
"Costa Rica",2011,344.546,80.248,4.613,3762.379,10.9198162219268,0.0129556433904261,2367.18322608429
"Costa Rica",2012,353.785,83.855,4.673,4177.721,11.8086436677643,0.0130067201387383,2526.99415103024
"Costa Rica",2013,357.828,88.242,4.733,4765.326,13.3173647674302,0.0128397175262143,2813.72591747943
"Costa Rica",2014,363.422,92.23,4.793,5230.867,14.3933691411087,0.0126769490809213,3002.99794306461
"Costa Rica",2015,364.163,92.97,4.851,5647.016,15.506836224438,0.0121009805967034,3196.62672117872
"Costa Rica",2016,352.897,92.953,4.909,6023.728,17.0693658489588,0.0119562976705834,3477.15743511077
"Costa Rica",2017,350.817,94.464,4.966,6610.915,18.8443404966122,0.0116113261356692,3794.67186802501
"Costa Rica",2018,350.144,96.563,5.022,6830.181,19.5067772116615,0.0112766814337495,3884.2646777502
"Costa Rica",2019,352.82,98.587,5.075,8222.614,23.3054078566975,0.0105535643170052,4592.1985924527
"Costa Rica",2020,349.163,99.301,5.128,8146.61,23.3318249642717,0.0104433497536947,4549.88786354752
"Costa Rica",2021,342.033,101.016,5.18,8378.698,24.4967532372607,0.0101404056162246,4729.10294155613
"Mexico",1990,1.114,8.63,84.17,198.143,177.866247755835,NA,2113.17865933034
"Mexico",1991,1.33,10.581,85.749,223.736,168.222556390977,0.0187596530830461,1961.80196143369
"Mexico",1992,1.493,12.223,87.312,251.729,168.606162089752,0.0182276178147851,1931.07662279815
"Mexico",1993,1.773,13.417,88.851,301.304,169.940214326001,0.0176264431006048,1912.64267510778
"Mexico",1994,1.889,14.354,90.363,353.845,187.318687136051,0.0170172536043489,2072.95781609786
"Mexico",1995,2.562,19.387,91.844,460.123,179.595238095238,0.0163894514347687,1955.43789572795
"Mexico",1996,3.184,26.046,93.295,683.261,214.592022613065,0.0157985279386788,2300.14494467083
"Mexico",1997,3.717,31.411,94.721,859.547,231.247511433952,0.0152848491344659,2441.35420270006
"Mexico",1998,4.242,36.41,96.117,992.023,233.857378595002,0.0147380200800244,2433.04908179617
"Mexico",1999,4.857,42.442,97.483,1215.264,250.208770846201,0.0142118459793792,2566.69132921844
"Mexico",2000,5.279,46.468,98.785,1360.275,257.676643303656,0.0133561749228071,2608.45921246805
